from_signal,diverted_to,from_line,to_line
CSMT S-4,L-001,DN TH,DN LL
CSMT S-5,L-001,DN TH,DN LL
CSMT S-6,L-001,DN TH,DN LL
BY S-25,BY S-29,DN TH,DN LL
DR S-21,L-035,DN TH,DN LL
MLND S-6,L-097,DN TH,DN LL
TNA S-75,L-3403,DN TH,DN LL
DW S-14,L-4307,DN TH,DN LL
KYN S-12,KYN S-32,DN TH,DN LL
KYN S-8,L-5014,UP TH,UP LL
DW S-49,S-45,UP TH,UP LL
MLND S-16,L-090,UP TH,UP LL
DR S-28,L-036,UP TH,UP LL
BY S-34,BY S-16,UP TH,UP LL
BY S-23,K-009,DN LL,DN TH
DR S-24,K-017,DN LL,DN TH
MLND S-5,K-059,DN LL,DN TH
DW S-2,DW S-7,DN LL,DN TH
KYN S-2,KYN S-12,DN LL,DN TH
KYN S-11,KYN S-13,DN LL,DN TH
KYN S-17,KYN S-21,UP LL,UP TH
DW S-66,DW S-65,UP LL,UP TH
TNA S-88,TNA S-82,UP LL,UP TH
MLND S-17,K-056,UP LL,UP TH
PR S-12,PR S-14,UP LL,UP TH
BY S-39,BY S-15,UP LL,UP TH
KYN S-3,KYN S-9,DN TH,5th Line
KYN S-13,KYN S-25,DN TH,5th Line
KYN S-17,KYN S-21,UP TH,6th Line
KYN S-38,KYN S-21,UP TH,6th Line
KYN S-19,KYN S-21,UP TH,6th Line
DI S-33,DI S-18,UP TH,6th Line
DW S-49,DW S-47,UP TH,6th Line
KYN S-2,KYN S-9,DN LL,5th Line
KYN S-11,KYN S-13,DN LL,5th Line
KYN S-21,K-5102,6th Line,UP TH
KYN S-21,L-5014,6th Line,UP LL
