detailId,detailNumber,line,signOnTime,signOnPlace,signOffTime,signOffPlace,totalDutyHours,totalWheelMovement,totalPiloting,createdAt
HB87-201,201,harbour,16:01:00,CSMT,22:45,CSMT,6:44,3:23,0:18,2025-07-23T07:35:18.524Z
HB87-202,202,harbour,4:22:00,CSMT,8:39,CSMT,4:17,2:21,0:18,2025-07-23T07:35:18.526Z
HB87-203,203,harbour,5:46:00,CSMT,13:41,CSMT,7:55,3:28,0:49,2025-07-23T07:35:18.526Z
HB87-204,204,harbour,10:30:00,CSMT,17:35,CSMT,7:05,3:40,0:00,2025-07-23T07:35:18.526Z
HB87-205,205,harbour,16:13:00,CSMT,23:05,PNVL,6:52,3:41,0:18,2025-07-23T07:35:18.526Z
HB87-206,206,harbour,5:32:00,PNVL,10:33,CSMT,5:01,1:53,0:37,2025-07-23T07:35:18.526Z
HB87-207,207,harbour,5:46:00,CSMT,12:19,CSMT,6:33,3:43,0:18,2025-07-23T07:35:18.526Z
HB87-208,208,harbour,14:34:00,CSMT,22:05,CSMT,7:31,3:40,0:00,2025-07-23T07:35:18.526Z
HB87-209,209,harbour,15:02:00,CSMT,23:00,CSMT,7:58,3:22,0:18,2025-07-23T07:35:18.526Z
HB87-210,210,harbour,4:40:00,CSMT,10:25,CSMT,5:45,2:43,0:57,2025-07-23T07:35:18.526Z
HB87-211,211,harbour,7:59:00,CSMT,15:07,CSMT,7:08,3:46,0:00,2025-07-23T07:35:18.526Z
HB87-212,212,harbour,10:00:00,CSMT,18:00,CSMT,8:00,0:00,0:00,2025-07-23T07:35:18.526Z
HB87-213,213,harbour,14:58:00,CSMT,22:53,CSMT,7:55,3:54,0:37,2025-07-23T07:35:18.526Z
HB87-214,214,harbour,4:36:00,CSMT,8:52,CSMT,4:16,2:22,0:18,2025-07-23T07:35:18.526Z
HB87-215,215,harbour,7:54:00,CSMT,15:43,CSMT,7:49,3:17,1:13,2025-07-23T07:35:18.526Z
HB87-216,216,harbour,14:38:00,CSMT,21:45,CSMT,7:07,3:40,0:00,2025-07-23T07:35:18.526Z
HB87-217,217,harbour,16:13:00,CSMT,22:35,CSMT,6:22,4:01,0:00,2025-07-23T07:35:18.526Z
HB87-218,218,harbour,4:26:00,CSMT,7:09,CSMT,2:43,1:49,0:00,2025-07-23T07:35:18.526Z
HB87-219,219,harbour,23:16:00,CSMT,6:27,CSMT,7:11,1:40,0:00,2025-07-23T07:35:18.526Z
HB87-220,220,harbour,22:28:00,CSMT,6:23,CSMT,7:55,1:39,0:00,2025-07-23T07:35:18.526Z
HB87-221,221,harbour,14:26:00,CSMT,22:18,CSMT,7:52,2:56,1:23,2025-07-23T07:35:18.526Z
HB87-222,222,harbour,17:23:00,CSMT,0:47,SCS,7:24,3:10,0:18,2025-07-23T07:35:18.526Z
HB87-223,223,harbour,6:22:00,SCS,11:22,CSMT,5:00,1:44,0:58,2025-07-23T07:35:18.526Z
HB87-224,224,harbour,10:15:00,CSMT,17:48,CSMT,7:33,1:21,0:18,2025-07-23T07:35:18.526Z
HB87-225,225,harbour,13:42:00,CSMT,21:06,CSMT,7:24,3:36,0:55,2025-07-23T07:35:18.526Z
HB87-226,226,harbour,16:21:00,CSMT,23:41,CSMT,7:20,3:30,0:49,2025-07-23T07:35:18.527Z
HB87-227,227,harbour,5:26:00,CSMT,9:37,CSMT,4:11,2:21,0:18,2025-07-23T07:35:18.527Z
HB87-228,228,harbour,6:29:00,CSMT,12:36,CSMT,6:07,3:12,0:18,2025-07-23T07:35:18.527Z
HB87-229,229,harbour,12:28:00,CSMT,20:15,CSMT,7:39,3:19,1:13,2025-07-23T07:35:18.527Z
HB87-230,230,harbour,15:30:00,CSMT,22:40,SCS,7:10,3:29,0:00,2025-07-23T07:35:18.527Z
HB87-231,231,harbour,3:52:00,SCS,9:21,CSMT,5:29,1:54,1:04,2025-07-23T07:35:18.527Z
HB87-232,232,harbour,8:44:00,CSMT,16:05,CSMT,7:21,3:21,0:18,2025-07-23T07:35:18.527Z
