scheduleId,line,trainNumber,startStation,startTime,endStation,endTime,status,remarks
HB87-201-1,harbour,P/B55,CSMT,16:31:00,VDLR,16:49,active,
HB87-201-2,harbour,PLVD33,VDLR,17:14:00,PNVL,18:19:00,active,
HB87-201-3,harbour,PL148,PNVL,18:57:00,CSMT,20:16:00,active,
HB87-201-4,harbour,B75,CSMT,21:22:00,BA,21:51:00,active,
HB87-201-5,harbour,B78,BA,22:00:00,CSMT,22:30:00,active,
HB87-202-1,harbour,PL9,CSMT,4:52:00,PNVL,6:12:00,active,
HB87-202-2,harbour,PLVD2,PNVL,6:41:00,VDLR,7:42:00,active,
HB87-202-3,harbour,P/BR18,VDLR,08:06,CSMT,8:24:00,active,
HB87-203-1,harbour,P/PL27,CSMT,6:16:00,VSH,07:05,active,
HB87-203-2,harbour,V22,VSH,7:48:00,CSMT,8:37:00,active,
HB87-203-3,harbour,PL69,CSMT,10:10:00,PNVL,11:30:00,active,
HB87-203-4,harbour,PL74,PNVL,12:07:00,CSMT,13:26:00,active,
HB87-204-1,harbour,B31,CSMT,11:00:00,BA,11:29:00,active,
HB87-204-2,harbour,B34,BA,11:41:00,CSMT,12:12:00,active,
HB87-204-3,harbour,PL109,CSMT,13:56:00,PNVL,15:17:00,active,
HB87-204-4,harbour,PL120,PNVL,16:01:00,CSMT,17:20:00,cancelled,
HB87-205-1,harbour,P/GN55,CSMT,16:43:00,VDLR,17:01,active,
HB87-205-2,harbour,PLVD35,VDLR,17:30:00,PNVL,18:32:00,active,
HB87-205-3,harbour,PL150,PNVL,19:09:00,CSMT,20:28:00,active,
HB87-205-4,harbour,PL187,CSMT,21:30:00,PNVL,22:50:00,active,
HB87-206-1,harbour,PL18,PNVL,6:02:00,CSMT,7:21:00,active,
HB87-206-2,harbour,CM1,CSMT,8:37:00,CMBR,9:11:00,active,
HB87-206-3,harbour,P/PL44,CMBR,09:41,CSMT,10:18:00,active,
HB87-207-1,harbour,P/PL27,CSMT,6:16:00,VDLR,06:34,active,
HB87-207-2,harbour,PLGN1,PNVL,5:57:00,CSMT,7:39:00,active,
HB87-207-3,harbour,GN20,GMN,7:47:00,CSMT,8:42:00,active,
HB87-207-4,harbour,BR15,CSMT,9:38:00,BEPR,10:44:00,cancelled,
HB87-207-5,harbour,BR36,BEPR,10:59:00,CSMT,12:04:00,cancelled,
HB87-208-1,harbour,B49,CSMT,15:04:00,BA,15:33:00,active,
HB87-208-2,harbour,B52,BA,15:41:00,CSMT,16:12:00,active,
HB87-208-3,harbour,PL159,CSMT,18:26:00,PNVL,19:47:00,active,
HB87-208-4,harbour,PL166,PNVL,20:31:00,CSMT,21:50:00,active,
HB87-209-1,harbour,B51,CSMT,15:32:00,BA,16:01:00,active,
HB87-209-2,harbour,B54,BA,16:12:00,CSMT,16:43:00,active,
HB87-209-3,harbour,P/BR45,CSMT,19:01:00,VDLR,19:19,active,
HB87-209-4,harbour,GNPL12,GMN,18:55:00,CSMT,20:46:00,active,
HB87-209-5,harbour,PL178,PNVL,21:26:00,CSMT,22:45:00,active,
HB87-210-1,harbour,GN5,CSMT,5:10:00,GMN,6:04:00,active,
HB87-210-2,harbour,GN12,GMN,6:14:00,CSMT,7:09:00,active,
HB87-210-3,harbour,GN19,CSMT,8:04:00,GMN,8:58:00,active,
HB87-210-4,harbour,P/GN26,GMN,9:13:00,CSMT,10:10:00,active,
HB87-211-1,harbour,B19,CSMT,8:29:00,BA,9:00:00,active,
HB87-211-2,harbour,B22,BA,9:08:00,CSMT,9:42:00,active,
HB87-211-3,harbour,PL83,CSMT,11:26:00,PNVL,12:48:00,active,
HB87-211-4,harbour,PL88,PNVL,13:33:00,CSMT,14:52:00,active,
HB87-212-1,harbour,WAITING,CSMT,,CSMT,,active,
HB87-213-1,harbour,P/PL129,CSMT,15:28:00,VDLR,15:46,active,
HB87-213-2,harbour,PLVD27,VDLR,16:08:00,PNVL,17:10:00,active,
HB87-213-3,harbour,PLVD38,PNVL,17:46:00,VDLR,18:47:00,cancelled,
HB87-213-4,harbour,P/PL140,VDLR,19:09,CSMT,19:28:00,active,
HB87-213-5,harbour,GN73,CSMT,20:36:00,GMN,21:32:00,active,
HB87-213-6,harbour,GN80,GMN,21:43:00,CSMT,22:38:00,active,
HB87-214-1,harbour,PL11,CSMT,5:06:00,PNVL,6:27:00,active,
HB87-214-2,harbour,PLGN3,PNVL,6:53:00,CSMT,8:43:00,active,
HB87-214-3,harbour,P/V22,VDLR,08:19,CSMT,8:37:00,active,
HB87-215-1,harbour,PL51,CSMT,8:24:00,PNVL,9:45:00,active,
HB87-215-2,harbour,PLGN7,PNVL,10:37:00,CSMT,12:19:00,active,
HB87-215-3,harbour,P/GN36,VDLR,12:03,CSMT,12:21:00,active,
HB87-215-4,harbour,GN41,CSMT,13:26:00,GMN,14:20:00,active,
HB87-215-5,harbour,P/GN48,GMN,14:33:00,CSMT,15:28:00,active,
HB87-216-1,harbour,PL123,CSMT,15:08:00,PNVL,16:28:00,active,
HB87-216-2,harbour,PL132,PNVL,17:07:00,CSMT,18:26:00,active,
HB87-216-3,harbour,B71,CSMT,20:20:00,BA,20:50:00,active,
HB87-216-4,harbour,B74,BA,20:59:00,CSMT,21:30:00,active,
HB87-217-1,harbour,GN55,CSMT,16:43:00,GMN,17:37:00,active,
HB87-217-2,harbour,GN62,GMN,17:53:00,CSMT,18:49:00,active,
HB87-217-3,harbour,BR51,CSMT,19:52:00,BEPR,20:59:00,cancelled,
HB87-217-4,harbour,BR74,BEPR,21:16:00,CSMT,22:20:00,cancelled,
HB87-218-1,harbour,GN3,CSMT,4:56:00,GMN,5:50:00,cancelled,
HB87-218-2,harbour,GN10,GMN,5:59:00,CSMT,6:54:00,cancelled,
HB87-219-1,harbour,GN87,CSMT,23:46:00,GMN,0:41:00,active,
HB87-219-2,harbour,GN6,GMN,5:17:00,CSMT,6:12:00,active,
HB87-220-1,harbour,PL201,CSMT,22:58:00,PNVL,0:18:00,active,
HB87-220-2,harbour,PL8,PNVL,4:49:00,CSMT,6:08:00,active,
HB87-221-1,harbour,P/PL121,CSMT,14:56:00,BEPR,16:01,active,
HB87-221-2,harbour,BR58,BEPR,16:33:00,CSMT,17:37:00,active,
HB87-221-3,harbour,BR45,CSMT,19:01:00,BEPR,20:06:00,active,
HB87-221-4,harbour,BRVD10,BEPR,20:18:00,VDLR,21:05:00,active,
HB87-221-5,harbour,P/B76,VDLR,21:45,CSMT,22:03:00,active,
HB87-222-1,harbour,V41,CSMT,17:53:00,VSH,18:44:00,active,
HB87-222-2,harbour,V56,VSH,18:54:00,CSMT,19:44:00,active,
HB87-222-3,harbour,P/PL187,CSMT,21:30:00,VDLR,21:48,active,
HB87-222-4,harbour,GNPL18,VDLR,22:20,PNVL,23:22:00,active,
HB87-222-5,harbour,VPL4,PNVL,23:32:00,VSH,0:02:00,active,
HB87-223-1,harbour,V18,VSH,7:07:00,CSMT,7:56:00,active,
HB87-223-2,harbour,GN21,CSMT,8:42:00,GMN,9:37:00,active,
HB87-223-3,harbour,P/GN30,GMN,10:06:00,CSMT,11:04:00,active,
HB87-224-1,harbour,V19,CSMT,10:45:00,VSH,11:35:00,active,
HB87-224-2,harbour,VVD10,VSH,16:23:00,VDLR,16:54:00,active,
HB87-224-3,harbour,P/V44,VDLR,17:15:00,CSMT,17:33:00,active,
HB87-225-1,harbour,PL111,CSMT,14:12:00,PNVL,15:33:00,active,
HB87-225-2,harbour,PL122,PNVL,16:10:00,CSMT,17:30:00,active,
HB87-225-3,harbour,GN63,CSMT,18:37:00,GMN,19:32:00,active,
HB87-225-4,harbour,P/GN72,GMN,19:56:00,CSMT,20:51:00,active,
HB87-226-1,harbour,P/PL143,CSMT,16:51:00,VSH,17:40,active,
HB87-226-2,harbour,V52,VSH,18:07:00,CSMT,18:57:00,cancelled,
HB87-226-3,harbour,PL177,CSMT,20:16:00,PNVL,21:37:00,active,
HB87-226-4,harbour,PL186,PNVL,22:07:00,CSMT,23:26:00,cancelled,
HB87-227-1,harbour,PL21,CSMT,5:56:00,PNVL,7:16:00,active,
HB87-227-2,harbour,PLGN5,PNVL,7:39:00,CSMT,9:22:00,active,
HB87-227-3,harbour,P/V26,VDLR,09:04,CSMT,9:22:00,active,
HB87-228-1,harbour,P/PL35,CSMT,6:59:00,VDLR,07:17,active,
HB87-228-2,harbour,VVD1,VDLR,7:54:00,VSH,8:25:00,active,
HB87-228-3,harbour,V26,VSH,8:33:00,CSMT,9:22:00,active,
HB87-228-4,harbour,GN29,CSMT,10:22:00,GMN,11:16:00,active,
HB87-228-5,harbour,GN36,GMN,11:23:00,CSMT,12:21:00,active,
HB87-229-1,harbour,P/GN39,CSMT,12:58:00,GMN,13:53:00,active,
HB87-229-2,harbour,GN48,GMN,14:33:00,CSMT,15:28:00,active,
HB87-229-3,harbour,PL139,CSMT,16:23:00,PNVL,17:44:00,active,
HB87-229-4,harbour,PLVD40,PNVL,18:18:00,VDLR,19:21:00,active,
HB87-229-5,harbour,P/PL146,VDLR,19:42,CSMT,20:00:00,active,
HB87-230-1,harbour,PL135,CSMT,16:00:00,PNVL,17:21:00,active,
HB87-230-2,harbour,PL138,PNVL,17:50:00,CSMT,19:09:00,active,
HB87-230-3,harbour,V55,CSMT,21:06:00,VSH,21:55:00,cancelled,
HB87-231-1,harbour,V6,VSH,4:37:00,CSMT,5:26:00,active,
HB87-231-2,harbour,BR3,CSMT,6:32:00,BEPR,7:37:00,active,
HB87-231-3,harbour,P/PL32,BEPR,08:02,CSMT,9:06:00,active,
HB87-232-1,harbour,B23,CSMT,9:14:00,BA,9:43:00,active,
HB87-232-2,harbour,B26,BA,9:51:00,CSMT,10:22:00,active,
HB87-232-3,harbour,P/PL85,CSMT,11:40:00,VDLR,11:58,active,
HB87-232-4,harbour,PLVD17,VDLR,12:18:00,PNVL,13:20:00,active,
HB87-232-5,harbour,PL100,PNVL,14:31:00,CSMT,15:50:00,active,
HB87-233-1,harbour,P/PL77,CSMT,10:52:00,VDLR,11:10,active,
HB87-233-2,harbour,PLGN7,VDLR,11:42,GMN,12:19:00,active,
HB87-233-3,harbour,GN40,GMN,12:27:00,CSMT,13:22:00,active,
HB87-233-4,harbour,BR31,CSMT,15:00:00,BEPR,16:05:00,cancelled,
HB87-233-5,harbour,BR56,BEPR,16:12:00,CSMT,17:16:00,cancelled,
HB87-234-1,harbour,BR47,CSMT,19:13:00,BEPR,20:19:00,cancelled,
HB87-234-2,harbour,BR70,BEPR,20:30:00,CSMT,21:34:00,cancelled,
HB87-234-3,harbour,GN83,CSMT,22:54:00,GMN,23:49:00,active,
HB87-234-4,harbour,GN2,GMN,0:07:00,CSMT,1:02:00,active,
HB87-235-1,harbour,PL35,CSMT,6:59:00,PNVL,8:19:00,active,
HB87-235-2,harbour,PL44,PNVL,8:56:00,CSMT,10:18:00,active,
HB87-236-1,harbour,PL47,CSMT,8:00:00,PNVL,9:20:00,active,
HB87-236-2,harbour,PL58,PNVL,10:17:00,CSMT,11:36:00,active,
HB87-236-3,harbour,B45,CSMT,14:04:00,BA,14:33:00,active,
HB87-236-4,harbour,B48,BA,14:41:00,CSMT,15:12:00,active,
HB87-237-1,harbour,WAITING,CSMT,,CSMT,,active,
HB87-238-1,harbour,PL137,CSMT,16:08:00,PNVL,17:28:00,active,
HB87-238-2,harbour,PL140,PNVL,18:06:00,CSMT,19:28:00,active,
HB87-238-3,harbour,V53,CSMT,20:40:00,VSH,21:30:00,cancelled,
HB87-239-1,harbour,V4,VSH,4:25:00,CSMT,5:14:00,active,
HB87-240-1,harbour,PL195,CSMT,22:20:00,PNVL,23:40:00,active,
HB87-240-2,harbour,BRPL4,PNVL,23:48:00,BEPR,0:03:00,active,
HB87-240-3,harbour,BR4,BEPR,4:13:00,CSMT,5:18:00,active,
HB87-241-1,harbour,B85,CSMT,23:38:00,BA,0:07:00,active,
HB87-241-2,harbour,B2,BA,4:17:00,CSMT,4:48:00,active,
HB87-242-1,harbour,PL107,CSMT,13:48:00,PNVL,15:09:00,active,
HB87-242-2,harbour,PL116,PNVL,15:45:00,CSMT,17:04:00,active,
HB87-242-3,harbour,P/PL153,CSMT,17:57:00,VDLR,18:16,active,
HB87-242-4,harbour,PLGN13,VDLR,17:29:00,GMN,19:14:00,active,
HB87-242-5,harbour,GNPL14,GMN,19:40:00,VDLR,21:29:00,active,
HB87-242-6,harbour,P/PL156,VDLR,20:44,CSMT,21:02:00,active,
HB87-243-1,harbour,V45,CSMT,18:49:00,VSH,19:38:00,active,
HB87-243-2,harbour,V60,VSH,20:09:00,CSMT,20:58:00,active,
HB87-243-3,harbour,GN79,CSMT,22:02:00,GMN,22:57:00,active,
HB87-243-4,harbour,GN86,GMN,23:06:00,CSMT,0:01:00,active,
HB87-244-1,harbour,P/B7,CSMT,6:04:00,VDLR,06:22,active,
