detailId,detailNumber,line,signOnTime,signOnPlace,signOffTime,signOffPlace,totalDutyHours,totalWheelMovement,totalPiloting,createdAt
ML89A-001,1,mainline,16:30,CSMT,23:35,NCS,7:05,2:56,0:18,2025-07-23T05:38:16.049Z
ML89A-002,2,mainline,5:40,NCS,10:21,CSMT,4:41,2:12,0:16,2025-07-23T05:38:16.051Z
ML89A-003,3,mainline,7:13,CSMT,15:07,CSMT,7:54,3:38,0:40,2025-07-23T05:38:16.051Z
ML89A-004,4,mainline,14:15,CSMT,19:43,CSMT,5:28,3:52,0:00,2025-07-23T05:38:16.051Z
ML89A-005,5,mainline,17:14,CSMT,23:55,CSMT,6:41,3:40,0:00,2025-07-23T05:38:16.051Z
ML89A-006,6,mainline,6:30,CSMT,12:42,CSMT,6:12,2:24,0:33,2025-07-23T05:38:16.051Z
ML89A-007,7,mainline,9:04,CSMT,16:59,CSMT,7:55,3:58,0:42,2025-07-23T05:38:16.051Z
ML89A-008,8,mainline,14:58,CSMT,22:00,CSMT,7:02,2:38,1:03,2025-07-23T05:38:16.051Z
ML89A-009,9,mainline,16:58,CSMT,0:14,CSMT,7:16,2:36,0:26,2025-07-23T05:38:16.051Z
ML89A-010,10,mainline,6:19,CSMT,11:35,CSMT,5:16,2:30,0:00,2025-07-23T05:38:16.051Z
ML89A-011,11,mainline,9:08,CSMT,17:17,CSMT,8:09,4:09,1:06,2025-07-23T05:38:16.051Z
ML89A-012,12,mainline,13:24,CSMT,20:45,CSMT,7:21,2:57,1:00,2025-07-23T05:38:16.051Z
ML89A-013,13,mainline,17:35,CSMT,1:35,CSMT,8:00,0:00,0:00,2025-07-23T05:38:16.051Z
ML89A-014,14,mainline,7:38,CSMT,13:20,CSMT,5:42,2:24,0:33,2025-07-23T05:38:16.051Z
ML89A-015,15,mainline,6:42,CSMT,14:31,CSMT,7:49,3:39,0:55,2025-07-23T05:38:16.051Z
ML89A-016,16,mainline,13:50,CSMT,21:14,CSMT,7:24,2:38,1:13,2025-07-23T05:38:16.051Z
ML89A-017,17,mainline,16:54,CSMT,22:40,KYN,5:46,3:22,0:00,2025-07-23T05:38:16.051Z
ML89A-018,18,mainline,5:10,KYN,7:06,CSMT,1:56,1:06,0:00,2025-07-23T05:38:16.051Z
ML89A-019,19,mainline,23:16,CSMT,5:27,CSMT,6:11,1:51,0:00,2025-07-23T05:38:16.051Z
ML89A-020,20,mainline,23:21,CSMT,7:11,CSMT,7:50,2:55,0:00,2025-07-23T05:38:16.051Z
ML89A-021,21,mainline,15:05,CSMT,20:56,CSMT,5:51,4:03,0:00,2025-07-23T05:38:16.051Z
ML89A-022,22,mainline,15:10,CSMT,23:16,CSMT,8:06,3:46,1:01,2025-07-23T05:38:16.051Z
ML89A-023,23,mainline,5:21,CSMT,9:53,CSMT,4:32,2:33,0:00,2025-07-23T05:38:16.051Z
ML89A-024,24,mainline,8:07,CSMT,15:45,CSMT,7:38,3:52,0:00,2025-07-23T05:38:16.051Z
ML89A-025,25,mainline,11:00,CSMT,19:00,CSMT,8:00,0:00,0:00,2025-07-23T05:38:16.051Z
ML89A-026,26,mainline,19:00,CSMT,0:08,CSMT,5:08,3:09,0:00,2025-07-23T05:38:16.051Z
ML89A-027,27,mainline,6:42,CSMT,12:49,CSMT,6:07,2:22,0:33,2025-07-23T05:38:16.051Z
ML89A-028,28,mainline,8:56,CSMT,16:04,CSMT,7:08,3:11,0:34,2025-07-23T05:38:16.051Z
ML89A-029,29,mainline,11:20,CSMT,19:17,CSMT,7:57,3:24,0:56,2025-07-23T05:38:16.051Z
ML89A-030,30,mainline,15:51,CSMT,23:43,KCS,7:52,3:25,0:15,2025-07-23T05:38:16.051Z
ML89A-031,31,mainline,5:48,KCS,10:49,CSMT,5:01,1:30,0:26,2025-07-23T05:38:16.051Z
ML89A-032,32,mainline,7:50,CSMT,15:35,CSMT,7:45,3:38,0:58,2025-07-23T05:38:16.051Z
ML89A-033,33,mainline,13:20,CSMT,21:11,CSMT,7:51,3:58,0:41,2025-07-23T05:38:16.051Z
ML89A-034,34,mainline,17:26,CSMT,1:20,CSMT,7:54,3:21,0:57,2025-07-23T05:38:16.051Z
ML89A-035,35,mainline,7:23,CSMT,12:30,CSMT,5:07,2:41,0:16,2025-07-23T05:38:16.051Z
ML89A-036,36,mainline,9:55,CSMT,17:47,CSMT,7:52,3:54,0:41,2025-07-23T05:38:16.051Z
ML89A-037,37,mainline,15:09,CSMT,21:23,TNA,6:14,2:56,0:55,2025-07-23T05:38:16.051Z
ML89A-038,38,mainline,3:24,TNA,5:15,CSMT,1:51,0:56,0:00,2025-07-23T05:38:16.051Z
ML89A-039,39,mainline,22:17,CSMT,6:11,CSMT,7:54,2:41,0:00,2025-07-23T05:38:16.051Z
ML89A-040,40,mainline,22:12,CSMT,5:39,CSMT,7:27,1:41,1:50,2025-07-23T05:38:16.051Z
ML89A-041,41,mainline,14:54,CSMT,22:43,CSMT,7:49,3:08,0:25,2025-07-23T05:38:16.051Z
ML89A-042,42,mainline,17:33,CSMT,0:26,NCS,6:53,2:58,0:17,2025-07-23T05:38:16.051Z
ML89A-043,43,mainline,6:29,NCS,10:18,CSMT,3:49,2:10,0:00,2025-07-23T05:38:16.051Z
ML89A-044,44,mainline,7:25,CSMT,12:30,CSMT,5:05,3:16,0:00,2025-07-23T05:38:16.051Z
ML89A-045,45,mainline,9:34,CSMT,16:53,CSMT,7:19,2:57,0:00,2025-07-23T05:38:16.051Z
ML89A-046,46,mainline,15:38,CSMT,22:56,CSMT,7:18,3:29,0:42,2025-07-23T05:38:16.051Z
ML89A-047,47,mainline,5:00,CSMT,11:00,CSMT,6:00,0:00,0:00,2025-07-23T05:38:16.051Z
ML89A-048,48,mainline,7:56,CSMT,15:50,CSMT,7:54,2:52,1:19,2025-07-23T05:38:16.051Z
ML89A-049,49,mainline,11:54,CSMT,19:48,CSMT,7:54,3:18,1:11,2025-07-23T05:38:16.051Z
ML89A-050,50,mainline,16:00,CSMT,23:51,CSMT,7:51,3:33,0:17,2025-07-23T05:38:16.051Z
ML89A-051,51,mainline,5:54,CSMT,11:19,CSMT,5:25,0:58,0:54,2025-07-23T05:38:16.051Z
ML89A-052,52,mainline,14:04,CSMT,22:00,CSMT,7:56,3:14,0:31,2025-07-23T05:38:16.051Z
ML89A-053,53,mainline,14:33,CSMT,22:26,CSMT,7:53,3:48,0:40,2025-07-23T05:38:16.051Z
