scheduleId,line,trainNumber,startStation,startTime,endStation,endTime,status,remarks
ML89A-001-1,mainline,A 39,CSMT,17:00,ABH,18:23,cancelled,
ML89A-001-2,mainline,DA 10,ABH,19:12,DR,20:16,active,
ML89A-001-3,mainline,P/A 56,DR,21:09,CSMT,21:27,active,
ML89A-001-4,mainline,C 41,CSMT,22:31,CLA,23:00,cancelled,
ML89A-002-1,mainline,CK 5,VVH,6:15,KYN,7:14,cancelled,
ML89A-002-2,mainline,PK 8,KYN,7:50,PR,9:03,active,
ML89A-002-3,mainline,P/T 44,PR,9:50,CSMT,10:06,active,
ML89A-003-1,mainline,P/K 17,CSMT,7:43,TNA,8:23,active,
ML89A-003-2,mainline,T 46,TNA,9:16,CSMT,10:14,cancelled,
ML89A-003-3,mainline,DL 15,CSMT,11:30,DI,12:50,active,
ML89A-003-4,mainline,DL 26,DI,13:32,CSMT,14:52,active,
ML89A-004-1,mainline,S 27,CSMT,14:45,KJT,16:42,active,
ML89A-004-2,mainline,S 40,KJT,17:33,CSMT,19:28,active,
ML89A-005-1,mainline,C 29,CSMT,17:44,CLA,18:12,active,
ML89A-005-2,mainline,C 26,CLA,18:56,CSMT,19:26,cancelled,
ML89A-005-3,mainline,DL 47,CSMT,20:48,DI,22:08,cancelled,
ML89A-005-4,mainline,DL 58,DI,22:18,CSMT,23:40,cancelled,
ML89A-006-1,mainline,T 5,CSMT,7:00,TNA,7:55,cancelled,
ML89A-006-2,mainline,T 36,TNA,8:36,CSMT,9:33,cancelled,
ML89A-006-3,mainline,C 17,CSMT,10:30,CLA,11:02,active,
ML89A-006-4,mainline,P/DL 18,VVH,11:54,CSMT,12:27,active,
ML89A-007-1,mainline,K 33,CSMT,9:34,KYN,11:04,active,
ML89A-007-2,mainline,AN 14,KYN,11:54,CSMT,13:26,active,
ML89A-007-3,mainline,T 71,CSMT,14:29,TNA,15:25,cancelled,
ML89A-007-4,mainline,P/AN 16,TNA,16:02,CSMT,16:44,active,
ML89A-008-1,mainline,T 75,CSMT,15:28,TNA,16:24,active,
ML89A-008-2,mainline,T 98,TNA,16:59,CSMT,17:57,cancelled,
ML89A-008-3,mainline,T 109,CSMT,19:00,TNA,19:44,cancelled,
ML89A-008-4,mainline,P/DL 50,KLVA,20:42,CSMT,21:45,active,
ML89A-009-1,mainline,C 27,CSMT,17:28,CLA,17:56,cancelled,
ML89A-009-2,mainline,C 24,CLA,18:32,CSMT,19:02,active,
ML89A-009-3,mainline,T 123,CSMT,21:04,TNA,22:00,active,
ML89A-009-4,mainline,PT 16,TNA,22:15,PR,22:57,active,
ML89A-009-5,mainline,P/S 54,PR,23:33,CSMT,23:59,active,
ML89A-010-1,mainline,S 9,CSMT,6:49,KYN,7:49,active,
ML89A-010-2,mainline,K 48,KYN,9:50,CSMT,11:20,active,
ML89A-011-1,mainline,TL 15,CSMT,9:38,KYN,10:46,active,
ML89A-011-2,mainline,K 56,KYN,11:50,CSMT,13:22,active,
ML89A-011-3,mainline,K 71,CSMT,14:20,KYN,15:49,active,
ML89A-011-4,mainline,P/N 22,KYN,15:56,CSMT,17:02,active,
ML89A-012-1,mainline,P/DL 21,CSMT,13:54,KLVA,14:54,active,
ML89A-012-2,mainline,T 90,TNA,15:51,CSMT,16:48,active,
ML89A-012-3,mainline,T 97,CSMT,18:03,TNA,19:02,cancelled,
ML89A-012-4,mainline,T 122,TNA,19:29,CSMT,20:30,cancelled,
ML89A-014-1,mainline,T 17,CSMT,8:08,TNA,9:04,active,
ML89A-014-2,mainline,T 48,TNA,9:30,CSMT,10:30,active,
ML89A-014-3,mainline,C 23,CSMT,11:12,CLA,11:40,active,
ML89A-014-4,mainline,P/TL 28,VVH,12:32,CSMT,13:05,active,
ML89A-015-1,mainline,P/T 7,CSMT,7:12,TNA,8:07,active,
ML89A-015-2,mainline,T 30,TNA,8:14,CSMT,9:12,active,
ML89A-015-3,mainline,DL 13,CSMT,10:34,DI,11:55,active,
ML89A-015-4,mainline,DL 24,DI,12:56,CSMT,14:16,active,
ML89A-016-1,mainline,P/K 71,CSMT,14:20,VVH,14:51,active,
ML89A-016-2,mainline,C 14,CLA,15:54,CSMT,16:24,cancelled,
ML89A-016-3,mainline,TL 41,CSMT,17:29,TLA,18:49,active,
ML89A-016-4,mainline,TTL 2,TLA,19:01,TNA,19:49,active,
ML89A-016-5,mainline,P/BL 54,TNA,20:17,CSMT,20:59,active,
ML89A-017-1,mainline,T 91,CSMT,17:24,TNA,18:20,cancelled,
ML89A-017-2,mainline,T 118,TNA,18:48,CSMT,19:46,cancelled,
ML89A-017-3,mainline,AN 29,CSMT,20:56,KYN,22:24,active,
ML89A-018-1,mainline,S 8,KYN,5:45,CSMT,6:51,active,
ML89A-019-1,mainline,T 139,CSMT,23:46,TNA,0:41,active,
ML89A-019-2,mainline,T 4,TNA,4:16,CSMT,5:12,active,
ML89A-020-1,mainline,BL 61,CSMT,23:51,KYN,1:18,active,
ML89A-020-2,mainline,TL 6,KYN,5:28,CSMT,6:56,active,
ML89A-021-1,mainline,S 29,CSMT,15:35,KJT,17:37,active,
ML89A-021-2,mainline,S 44,KJT,18:40,CSMT,20:41,active,
ML89A-022-1,mainline,P/TL 37,CSMT,15:40,KLVA,16:41,active,
ML89A-022-2,mainline,T 106,TNA,17:25,CSMT,18:22,cancelled,
ML89A-022-3,mainline,BL 45,CSMT,19:23,BUD,20:48,active,
ML89A-022-4,mainline,BL 64,BUD,21:37,CSMT,23:01,active,
ML89A-023-1,mainline,K 5,CSMT,6:06,KYN,7:10,cancelled,
ML89A-023-2,mainline,K 28,KYN,8:09,CSMT,9:38,cancelled,ER NCS  csmt 06:06 cla 06:31
ML89A-024-1,mainline,G 1,CSMT,8:37,GC,9:12,active,
ML89A-024-2,mainline,G 4,GC,9:46,CSMT,10:22,cancelled,
ML89A-024-3,mainline,DL 19,CSMT,12:38,DI,13:57,active,
ML89A-024-4,mainline,DL 28,DI,14:08,CSMT,15:30,active,
ML89A-026-1,mainline,TL 49,CSMT,19:30,TLA,20:52,active,
ML89A-026-2,mainline,TL 68,TLA,22:06,CSMT,23:53,active,
ML89A-027-1,mainline,T 7,CSMT,7:12,TNA,8:07,active,
ML89A-027-2,mainline,T 38,TNA,8:47,CSMT,9:45,active,
ML89A-027-3,mainline,C 19,CSMT,10:44,CLA,11:13,cancelled,
ML89A-027-4,mainline,P/T 72,VVH,12:01,CSMT,12:34,active,
ML89A-028-1,mainline,P/K 31,CSMT,9:26,GC,10:00,active,
ML89A-028-2,mainline,G 6,GC,10:35,CSMT,11:12,active,
ML89A-028-3,mainline,K 51,CSMT,12:15,KYN,13:44,active,
ML89A-028-4,mainline,N 20,KYN,14:44,CSMT,15:49,active,
ML89A-029-1,mainline,P/BL 21,CSMT,11:50,TNA,12:30,active,
ML89A-029-2,mainline,T 76,TNA,12:56,CSMT,13:54,cancelled,
ML89A-029-3,mainline,DL 27,CSMT,15:45,DI,17:05,active,
ML89A-029-4,mainline,PDL 6,DI,17:32,PR,18:38,cancelled,
ML89A-029-5,mainline,P/C 24,PR,18:46,CSMT,19:02,active,
ML89A-030-1,mainline,P/TL 39,CSMT,16:21,PR,16:36,active,
ML89A-030-2,mainline,PDL 9,PR,17:10,DI,18:16,active,
ML89A-030-3,mainline,DL 46,DI,19:28,CSMT,20:52,active,
ML89A-030-4,mainline,T 125,CSMT,22:08,TNA,23:03,active,
ML89A-031-1,mainline,T 18,TNA,6:28,CSMT,7:24,cancelled,
ML89A-031-2,mainline,G 3,CSMT,9:09,GC,9:43,cancelled,
ML89A-031-3,mainline,P/TL 20,GC,10:08,CSMT,10:34,active,
ML89A-032-1,mainline,DL 7,CSMT,8:20,DI,9:38,active,
ML89A-032-2,mainline,DL 16,DI,10:40,CSMT,12:00,active,
ML89A-032-3,mainline,T 65,CSMT,13:06,TNA,14:06,cancelled,
ML89A-032-4,mainline,P/T 82,TNA,14:22,CSMT,15:20,active,
ML89A-033-1,mainline,P/BL 25,CSMT,13:50,TNA,14:31,active,
ML89A-033-2,mainline,T 86,TNA,15:08,CSMT,16:06,cancelled,
ML89A-033-3,mainline,K 93,CSMT,17:16,KYN,18:46,active,
ML89A-033-4,mainline,K 120,KYN,19:26,CSMT,20:56,active,
ML89A-034-1,mainline,P/TL 43,CSMT,17:56,TNA,18:37,active,
ML89A-034-2,mainline,T 120,TNA,18:57,CSMT,19:55,active,
ML89A-034-3,mainline,DL 49,CSMT,21:12,DI,22:31,active,
ML89A-034-4,mainline,PDL 10,DI,22:48,PR,23:52,active,
ML89A-034-5,mainline,P/KP 14,PR,0:49,CSMT,1:05,active,
ML89A-035-1,mainline,K 19,CSMT,7:53,KYN,9:21,active,
ML89A-035-2,mainline,PTL 4,KYN,10:09,PR,11:22,active,
ML89A-035-3,mainline,P/BL 18,PR,11:59,CSMT,12:15,active,
ML89A-036-1,mainline,P/A 17,CSMT,10:25,TNA,11:06,active,
ML89A-036-2,mainline,T 72,TNA,11:36,CSMT,12:34,cancelled,
ML89A-036-3,mainline,K 67,CSMT,13:46,KYN,15:14,active,
ML89A-036-4,mainline,K 86,KYN,16:04,CSMT,17:32,cancelled,
ML89A-037-1,mainline,BL 33,CSMT,15:39,BUD,17:08,active,
ML89A-037-2,mainline,BL 50,BUD,18:17,CSMT,19:44,active,
ML89A-037-3,mainline,P/A 51,CSMT,20:13,TNA,21:08,active,
ML89A-038-1,mainline,T 2,TNA,4:04,CSMT,5:00,active,
ML89A-039-1,mainline,N 35,CSMT,22:47,KYN,23:59,active,
ML89A-039-2,mainline,S 4,KYN,4:27,CSMT,5:56,active,
ML89A-040-1,mainline,P/BL 59,CSMT,22:42,ABH,0:32,active,
ML89A-040-2,mainline,A 2,ABH,3:43,CSMT,5:24,active,
ML89A-041-1,mainline,DL 25,CSMT,15:24,DI,16:43,cancelled,
ML89A-041-2,mainline,DL 38,DI,17:13,CSMT,18:33,active,
ML89A-041-3,mainline,C 35,CSMT,20:41,CLA,21:10,active,
ML89A-041-4,mainline,P/A 60,CLA,22:03,CSMT,22:28,active,
ML89A-042-1,mainline,K 101,CSMT,18:03,KYN,19:18,active,
ML89A-042-2,mainline,PK 32,KYN,20:10,PR,21:25,cancelled,
ML89A-042-3,mainline,P/K 126,PR,21:43,CSMT,22:00,active,
ML89A-042-4,mainline,C 47,CSMT,23:23,CLA,23:51,cancelled,
