from_signal,diverted_to,from_line,to_line,route_condition
KJT S-2,KJT S-22,DN SE,DN KHPI,PF-3
KJT S-2,KJT S-16,DN SE,DN KHPI,PF-1
KJT S-2,KJT S-14,DN SE,DN KHPI,EMU PF
KJT S-14,KJT S-36,DN KHPI,DN KHPI,DN KHPI
KJT S-14,KJT S-37,DN KHPI,DN KHPI,DN KHPI
KJT S-14,KJT S-38,DN KHPI,DN KHPI,DN KHPI
KJT S-14,KJT S-39,DN KHPI,DN KHPI,DN KHPI
KJT S-14,KJT S-28,DN KHPI,DN KHPI,DN KHPI
KJT S-14,KJT S-16,DN KHPI,DN KHPI,DN KHPI
KJT S-14,KJT S-21,DN KHPI,DN KHPI,DN KHPI
KJT S-16,KJT S-36,DN KHPI,DN KHPI,DN KHPI
KJT S-16,KJT S-37,DN KHPI,DN KHPI,DN KHPI
KJT S-16,KJT S-38,DN KHPI,DN KHPI,DN KHPI
KJT S-16,KJT S-39,DN KHPI,DN KHPI,DN KHPI
KJT S-16,KJT S-28,DN KHPI,DN KHPI,DN KHPI
KJT S-16,KJT S-32,DN KHPI,DN KHPI,DN KHPI
KJT S-21,KJT S-28,DN KHPI,DN KHPI,DN KHPI
KJT S-22,KJT S-55,DN KHPI,DN KHPI,DN KHPI
KJT S-22,KJT S-46,DN KHPI,DN KHPI,DN KHPI
KJT S-22,KJT S-47,DN KHPI,DN KHPI,DN KHPI
KJT S-22,KJT S-54,DN KHPI,DN KHPI,DN KHPI
KJT S-22,KJT S-28,DN KHPI,DN KHPI,DN KHPI
KJT S-23,KJT S-55,DN KHPI,DN KHPI,DN KHPI
KJT S-23,KJT S-46,DN KHPI,DN KHPI,DN KHPI
KJT S-23,KJT S-47,DN KHPI,DN KHPI,DN KHPI
KJT S-23,KJT S-54,DN KHPI,DN KHPI,DN KHPI
KJT S-28,KJT S-55,DN KHPI,DN KHPI,DN KHPI
KJT S-28,KJT S-42,DN KHPI,DN KHPI,DN KHPI
KJT S-28,KJT S-38,DN KHPI,DN KHPI,DN KHPI
KJT S-28,KJT S-39,DN KHPI,DN KHPI,DN KHPI
KJT S-28,KJT S-46,DN KHPI,DN KHPI,DN KHPI
KJT S-28,KJT S-47,DN KHPI,DN KHPI,DN KHPI
KJT S-28,KJT S-54,DN KHPI,DN KHPI,DN KHPI
KJT S-32,KJT S-38,DN KHPI,DN KHPI,DN KHPI
KJT S-36,KJT S-63,DN KHPI,DN KHPI,DN KHPI
KJT S-36,KJT S-64,DN KHPI,DN KHPI,DN KHPI
KJT S-37,KJT S-63,DN KHPI,DN KHPI,DN KHPI
KJT S-37,KJT S-64,DN KHPI,DN KHPI,DN KHPI
KJT S-38,KJT S-63,DN KHPI,DN KHPI,DN KHPI
KJT S-38,KJT S-64,DN KHPI,DN KHPI,DN KHPI
KJT S-39,KJT S-63,DN KHPI,DN KHPI,DN KHPI
KJT S-39,KJT S-64,DN KHPI,DN KHPI,DN KHPI
KJT S-42,KJT S-63,DN KHPI,DN KHPI,DN KHPI
KJT S-42,KJT S-64,DN KHPI,DN KHPI,DN KHPI
KJT S-46,KJT S-63,DN KHPI,DN KHPI,DN KHPI
KJT S-46,KJT S-64,DN KHPI,DN KHPI,DN KHPI
KJT S-47,KJT S-63,DN KHPI,DN KHPI,DN KHPI
KJT S-47,KJT S-64,DN KHPI,DN KHPI,DN KHPI
KJT S-54,KJT S-63,DN KHPI,DN KHPI,DN KHPI
KJT S-54,KJT S-64,DN KHPI,DN KHPI,DN KHPI
KJT S-55,KJT S-63,DN KHPI,DN KHPI,DN KHPI
KJT S-55,KJT S-64,DN KHPI,DN KHPI,DN KHPI
KJT S-63,PDI S-3,DN KHPI,DN KHPI,DN KHPI
KJT S-64,PDI S-4,DN KHPI,DN KHPI,DN KHPI
PDI S-3,PDI S-16,DN KHPI,DN KHPI,DN KHPI
PDI S-4,PDI S-16,DN KHPI,DN KHPI,DN KHPI
