from_signal,diverted_to,from_line,to_line,route_condition
PDI S-5,KJT S-71,UP KHPI,UP KHPI,UP KHPI
PDI S-5,KJT S-72,UP KHPI,UP KHPI,UP KHPI
KJT S-71,KJT S-81,UP KHPI,UP KHPI,UP KHPI
KJT S-71,KJT S-82,UP KHPI,UP KHPI,UP KHPI
KJT S-71,KJT S-87,UP KHPI,UP KHPI,UP KHPI
KJT S-71,KJT S-102,UP KHPI,UP KHPI,UP KHPI
KJT S-72,KJT S-81,UP KHPI,UP KHPI,UP KHPI
KJT S-72,KJT S-82,UP KHPI,UP KHPI,UP KHPI
KJT S-72,KJT S-87,UP KHPI,UP KHPI,UP KHPI
KJT S-72,KJT S-102,UP KHPI,UP KHPI,UP KHPI
KJT S-81,KJT S-103,UP KHPI,UP KHPI,UP KHPI
KJT S-81,KJT S-104,UP KHPI,UP KHPI,UP KHPI
KJT S-81,KJT S-105,UP KHPI,UP KHPI,UP KHPI
KJT S-82,KJT S-95,UP KHPI,UP KHPI,UP KHPI
KJT S-87,KJT S-106,UP KHPI,UP KHPI,UP KHPI
KJT S-95,KJT S-112,UP KHPI,UP KHPI,UP KHPI
KJT S-95,KJT S-132,UP KHPI,UP KHPI,PF-3
KJT S-102,KJT S-112,UP KHPI,UP KHPI,UP KHPI
KJT S-102,KJT S-132,UP KHPI,UP KHPI,PF-3
KJT S-103,KJT S-112,UP KHPI,UP KHPI,UP KHPI
KJT S-103,KJT S-132,UP KHPI,UP KHPI,PF-3
KJT S-104,KJT S-112,UP KHPI,UP KHPI,UP KHPI
KJT S-104,KJT S-132,UP KHPI,UP KHPI,PF-3
KJT S-105,KJT S-112,UP KHPI,UP KHPI,UP KHPI
KJT S-106,KJT S-137,UP KHPI,UP KHPI,PF-1
KJT S-112,KJT S-132,UP KHPI,UP KHPI,PF-3
KJT S-112,KJT S-134,UP KHPI,UP KHPI,PF-2
KJT S-112,KJT S-137,UP KHPI,UP KHPI,PF-1
KJT S-132,KJT S-142,UP KHPI,UP SE,UP SE
KJT S-134,KJT S-142,UP KHPI,UP SE,UP SE
KJT S-137,KJT S-142,UP KHPI,UP SE,UP SE
