hrms_id,lpm_posting_date,from_designation_id,to_designation_id
MNNLOZ,2009-10-07,4,5
CEOWCT,2004-08-13,4,5
MHUEQA,2004-08-13,4,5
OTWRUF,2008-10-01,4,5
DARWLX,2011-04-13,4,5
BMZWLQ,2011-12-02,4,5
KNOOKE,2010-10-05,4,5
CMBXZD,2012-08-08,4,5
YSNPDJ,2015-10-21,4,5
BZODSJ,2019-06-12,4,5
QJOZYO,2018-11-15,4,5
CITMPI,2018-11-15,4,5
QYUQCZ,2018-11-15,4,5
DUGNQG,2018-11-15,4,5
GPUCZS,2018-11-15,4,5
DIYMIK,2018-11-15,4,5
JFYYGF,2018-11-15,4,5
JKPBXL,2018-11-15,4,5
NYPQIM,2018-11-15,4,5
TXRTFC,2018-11-15,4,5
WCEBYK,2018-12-28,4,5
TUSAFU,2018-11-15,4,5
MIKWOF,2018-11-15,4,5
GFLONI,2018-11-15,4,5
EFKHPE,2018-11-15,4,5
ZZSJAW,2018-11-15,4,5
ZCWXCI,2018-12-17,4,5
UKIUPN,2018-11-15,4,5
QXLBBU,2018-11-15,4,5
PFECQF,2018-11-15,4,5
LUNSCT,2018-12-17,4,5
IMIHTP,2020-12-01,4,5
SNBYWF,2018-12-20,4,5
CNGMCZ,2018-12-20,4,5
YCQXXB,2018-12-20,4,5
CWSMDM,2018-12-20,4,5
FLUJUR,2018-12-28,4,5
RTUBFA,2018-12-20,4,5
JLDZYZ,2018-12-20,4,5
UBMAXO,2018-12-20,4,5
TXNDQT,2018-12-20,4,5
XFAGYC,2018-12-20,4,5
ZHJNYQ,2018-12-28,4,5
HUZMGA,2018-12-20,4,5
TYTRFY,2018-12-20,4,5
HWAXFS,2018-12-20,4,5
QTYNEZ,2018-12-20,4,5
LYQAYO,2018-12-20,4,5
DNDKAT,2022-12-17,4,5
FEAQBM,2018-12-20,4,5
NCMKSG,2018-12-20,4,5
EUSGGL,2018-12-20,4,5
UUDUPD,2018-12-20,4,5
RGOKIY,2018-12-20,4,5
FZOBGK,2018-12-20,4,5
MRADUA,2018-12-20,4,5
NEHRTT,2018-12-20,4,5
KYMDKA,2018-12-20,4,5
QBEMES,2018-12-20,4,5
YLXYBL,2018-12-20,4,5
NHORYS,2018-12-20,4,5
XFZPYJ,2018-12-20,4,5
ZTXLKY,2018-12-20,4,5
QTGLXO,2018-12-20,4,5
TOOSHY,2018-12-20,4,5
MZHIYN,2018-12-20,4,5
JMQATD,2018-12-20,4,5
ETHMLK,2021-06-08,4,5
WRZWJW,2018-12-20,4,5
KHKRMY,2018-12-20,4,5
NDWQPS,2018-12-20,4,5
TEZJQB,2018-12-20,4,5
PWHUOO,2018-12-20,4,5
KNDDNZ,2018-12-20,4,5
MWWXHR,2018-12-20,4,5
PHQPQY,2018-12-28,4,5
YMMPSD,2018-12-28,4,5
PKKZIN,2018-12-28,4,5
HWPWMC,2018-12-28,4,5
RDCCPC,2021-02-12,4,5
BLLDWQ,2018-12-28,4,5
QEJIIS,2018-12-28,4,5
ARCBLN,2019-07-10,4,5
