AC_train_codes,15_CAR _train_codes
96603,95305
97501,95717
97615,95231
97389,95129
97157,95335
97433,95703
95701,95705
96611,95709
95707,95907
95901,95715
97041,95801
95711,95719
95307,95721
95713,95725
97217,95739
95221,95743
96313,95306
95225,95346
97363,95730
96317,95230
95909,95142
95611,95802
97235,95704
97239,95712
95723,95720
95321,95728
95911,95732
97251,95734
97149,95742
95733,95746
95329,95748
97163,
97173,
97175,
95741,
97427,
97435,
95307,
95221,
95225,
96313,
96317,
95321,
95329,
96611,
95611,
96612,
97502,
97618,
97408,
97164,
97630,
96618,
96314,
95214,
95218,
96324,
95324,
95336,
95342,
97604,
97310,
95702,
97320,
97022,
95904,
95908,
95714,
96618,
95724,
95912,
97048,
95726,
96314,
97218,
95214,
95218,
97370,
95914,
96324,
95324,
95610,
97236,
95738,
97240,
95336,
97416,
97252,
97152,
97154,
95342,
97168,
97176,
97178,
97180,
