line,link_type,detail_number,detail_id,sign_on,son_place,sign_off,soff_place,duty,sign_on_bucket,crosses_midnight,classifier_GUESS,CLASSIFICATION,next_detail_or_notes
harbour,CSMT-HB-FIX,390,HB87-390,06:47,CSMT,13:22,CSMT,06:35,morning,FALSE,single,single,
harbour,CSMT-HB-FIX,391,HB87-391,05:30,CSMT,13:17,CSMT,07:47,morning,FALSE,single,single,
harbour,CSMT-HB-FIX,392,HB87-392,06:06,CSMT,11:35,CSMT,05:29,morning,FALSE,single,single,
harbour,CSMT-HB-FIX,397,HB87-397,06:16,CSMT,13:09,CSMT,06:53,morning,FALSE,single,single,
harbour,CSMT-HB-FIX,399,HB87-399,16:17,CSMT,22:13,CSMT,05:56,evening,FALSE,single,single,
harbour,CSMT-HB-FIX,404,HB87-404,15:14,CSMT,23:09,CSMT,07:55,evening,FALSE,single,single,
harbour,PNVL-FIX,545,HB87-545,19:25,PNVL,01:09,PNVL,05:44,evening,TRUE,double,double,546
harbour,PNVL-FIX,546,HB87-546,06:27,PNVL,12:12,PNVL,05:45,morning,FALSE,double,double,
harbour,PNVL-MEMU,552,HB87-552,17:03,PNVL,23:48,URAN,06:45,evening,FALSE,double,double,553
harbour,PNVL-MEMU,553,HB87-553,05:25,URAN,11:09,PNVL,05:44,morning,FALSE,double,double,
harbour,PNVL-MEMU,554,HB87-554,07:10,PNVL,12:15,PNVL,05:05,day,FALSE,single,single,
harbour,PNVL-MEMU,555,HB87-555,07:10,PNVL,15:03,PNVL,07:53,day,FALSE,single,single,
mainline,CSMT-FIX,164,ML89A-164,06:25,CSMT,13:20,CSMT,06:55,morning,FALSE,single,single,
mainline,CSMT-FIX,165,ML89A-165,06:35,CSMT,11:35,CSMT,05:00,morning,FALSE,single,single,
mainline,CSMT-FIX,166,ML89A-166,06:46,CSMT,14:14,CSMT,07:28,morning,FALSE,single,single,
mainline,CSMT-FIX,167,ML89A-167,06:46,CSMT,11:48,CSMT,05:02,morning,FALSE,single,single,
mainline,CSMT-FIX,168,ML89A-168,06:58,CSMT,14:23,CSMT,07:25,morning,FALSE,single,single,
mainline,CSMT-FIX,169,ML89A-169,07:02,CSMT,14:05,CSMT,07:03,day,FALSE,single,single,
mainline,CSMT-FIX,170,ML89A-170,08:22,CSMT,13:22,CSMT,05:00,day,FALSE,single,single,
mainline,CSMT-FIX,171,ML89A-171,08:39,CSMT,13:39,CSMT,05:00,day,FALSE,single,single,
mainline,CSMT-FIX,172,ML89A-172,09:00,CSMT,14:14,CSMT,05:14,day,FALSE,single,single,
mainline,CSMT-FIX,173,ML89A-173,09:50,CSMT,14:50,CSMT,05:00,day,FALSE,single,single,
mainline,CSMT-FIX,174,ML89A-174,10:10,CSMT,15:10,CSMT,05:00,day,FALSE,single,single,
mainline,CSMT-FIX,175,ML89A-175,10:44,CSMT,17:07,CSMT,06:23,day,FALSE,single,single,
mainline,CSMT-FIX,176,ML89A-176,13:10,CSMT,18:12,CSMT,05:02,day,FALSE,single,single,
mainline,CSMT-FIX,177,ML89A-177,17:11,CSMT,22:11,CSMT,05:00,evening,FALSE,double,single,
mainline,CSMT-MEMU,191,ML89A-191,05:00,CSMT,13:00,CSMT,08:00,morning,FALSE,double,single,
mainline,CSMT-MEMU,192,ML89A-192,10:00,CSMT,18:00,CSMT,08:00,day,FALSE,single,single,
mainline,KYN-FIX,850,ML89A-850,21:05,KYN,04:00,KYN,06:55,night,TRUE,triple,triple,
mainline,KYN-FIX,851,ML89A-851,22:17,KYN,06:03,KYN,07:46,night,TRUE,triple,triple,
mainline,KYN-FIX,855,ML89A-855,05:36,KYN,11:17,KYN,05:41,morning,FALSE,single,single,
mainline,KYN-FIX,856,ML89A-856,05:48,KYN,11:48,KYN,06:00,morning,FALSE,single,single,
mainline,KYN-FIX,857,ML89A-857,05:57,KYN,12:09,KYN,06:12,morning,FALSE,single,single,
mainline,KYN-FIX,858,ML89A-858,06:12,KYN,11:31,KYN,05:19,morning,FALSE,single,single,
mainline,KYN-FIX,859,ML89A-859,06:27,KYN,11:37,KYN,05:10,morning,FALSE,single,single,
mainline,KYN-FIX,860,ML89A-860,06:51,KYN,13:03,KYN,06:12,morning,FALSE,single,single,
mainline,KYN-FIX,861,ML89A-861,07:16,KYN,13:08,KYN,05:52,day,FALSE,single,single,
mainline,KYN-FIX,862,ML89A-862,08:00,KYN,15:00,KYN,07:00,day,FALSE,single,single,
mainline,KYN-FIX,863,ML89A-863,10:27,KYN,15:52,KYN,05:25,day,FALSE,single,single,
mainline,KYN-FIX,864,ML89A-864,12:50,KYN,18:05,KYN,05:15,day,FALSE,single,single,
mainline,KYN-FIX,867,ML89A-867,15:23,KYN,23:20,CSMT,07:57,evening,FALSE,double,single,
mainline,KYN-FIX,868,ML89A-868,05:21,CSMT,08:16,KYN,02:55,morning,FALSE,double,single,
mainline,KYN-FIX,869,ML89A-869,18:59,KYN,23:59,CSMT,05:00,evening,FALSE,double,single,
mainline,KYN-FIX,870,ML89A-870,06:00,CSMT,08:16,KYN,02:16,morning,FALSE,double,single,
mainline,KYN-FIX,871,ML89A-871,17:25,KYN,23:39,KSRA,06:37,evening,FALSE,double,Double,872
mainline,KYN-FIX,872,ML89A-872,06:22,KSRA,08:29,KYN,02:07,morning,FALSE,double,Double,
