train_code,train_number,normalized_train_number,corridor_type,route_code,service_type,line_group,direction,from_station,to_station,car_composition,ac_service,source_note
91392,WGN 2,WGN2,0,HARBOUR,SLOW,HARBOUR,UP,GMN,CSMTH,12_CAR,NON_AC,Special GMN code pattern
91393,WGN 1,WGN1,0,HARBOUR,SLOW,HARBOUR,DN,CSMTH,GMN,12_CAR,NON_AC,Special GMN code pattern
91394,WGN 4,WGN4,0,HARBOUR,SLOW,HARBOUR,UP,GMN,CSMTH,12_CAR,NON_AC,Special GMN code pattern
91395,WGN 3,WGN3,0,HARBOUR,SLOW,HARBOUR,DN,CSMTH,GMN,12_CAR,NON_AC,Special GMN code pattern
91396,WGN 6,WGN6,0,HARBOUR,SLOW,HARBOUR,UP,GMN,CSMTH,12_CAR,NON_AC,Special GMN code pattern
91491,WBO 1,WBO1,0,HARBOUR,SLOW,HARBOUR,DN,CSMTH,GMN,12_CAR,NON_AC,Special GMN code pattern
95001,KP 1,KP1,2,SE,FAST,SE,DN,CSMT,KHPI,12_CAR,NON_AC,
95002,KP 2,KP2,2,SE,FAST,SE,UP,KHPI,CSMT,12_CAR,NON_AC,
95003,KP 3,KP3,2,SE,FAST,SE,DN,CSMT,KHPI,12_CAR,NON_AC,
95004,KP 4,KP4,2,SE,FAST,SE,UP,KHPI,CSMT,12_CAR,NON_AC,
95005,KP 5,KP5,2,SE,FAST,SE,DN,CSMT,KHPI,12_CAR,NON_AC,
95006,KP 6,KP6,2,SE,FAST,SE,UP,KHPI,CSMT,12_CAR,NON_AC,
95007,KP 7,KP7,2,SE,FAST,SE,DN,CSMT,KHPI,12_CAR,NON_AC,
95008,KP 8,KP8,2,SE,FAST,SE,UP,KHPI,CSMT,12_CAR,NON_AC,
95009,KP 9,KP9,2,SE,FAST,SE,DN,CSMT,KHPI,12_CAR,NON_AC,
95010,KP 10,KP10,2,SE,FAST,SE,UP,KHPI,CSMT,12_CAR,NON_AC,
95011,KP 11,KP11,2,SE,FAST,SE,DN,CSMT,KHPI,12_CAR,NON_AC,
95012,KP 12,KP12,2,SE,FAST,SE,UP,KHPI,CSMT,12_CAR,NON_AC,
95013,KP 13,KP13,2,SE,FAST,SE,DN,CSMT,KHPI,12_CAR,NON_AC,
95015,KP 17,KP17,2,SE,FAST,SE,DN,CSMT,KHPI,12_CAR,NON_AC,
95101,S 5,S5,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95102,S 8,S8,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95103,S 7,S7,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95104,S 10,S10,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95105,S 9,S9,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95106,S 12,S12,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95107,S 11,S11,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95108,S 14,S14,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95109,S 13,S13,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95110,S 16,S16,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95111,S 15,S15,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95112,S 18,S18,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95113,S 17,S17,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95114,S 20,S20,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95115,S 19,S19,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95116,S 22,S22,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95117,S 21,S21,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95118,S 24,S24,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95119,S 23,S23,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95120,S 26,S26,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95121,S 25,S25,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95122,S 28,S28,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95123,S 27,S27,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95124,S 30,S30,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95125,S 29,S29,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95126,S 32,S32,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95127,S 31,S31,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95128,S 34,S34,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95129,S 33,S33,2,SE,FAST,SE,DN,CSMT,KJT,15_CAR,NON_AC,
95130,S 36,S36,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95131,S 35,S35,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95132,S 38,S38,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95133,S 37,S37,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95134,S 40,S40,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95135,S 39,S39,2,SE,FAST,SE,DN,CSMT,KJT,12_CAR,NON_AC,
95136,S 42,S42,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95138,S 44,S44,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95140,S 46,S46,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95142,S 48,S48,2,SE,FAST,SE,UP,KJT,CSMT,15_CAR,NON_AC,
95144,S 50,S50,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95146,S 54,S54,2,SE,FAST,SE,UP,KJT,CSMT,12_CAR,NON_AC,
95201,BL 1,BL1,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95202,BL 8,BL8,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95203,BL 3,BL3,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95204,BL 10,BL10,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95205,BL 5,BL5,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95206,BL 12,BL12,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95207,BL 7,BL7,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95208,BL 16,BL16,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95209,BL 9,BL9,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95210,BL 20,BL20,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95211,BL 11,BL11,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95212,BL 30,BL30,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95213,BL 13,BL13,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95214,DBL 2,DBL2,2,SE,FAST,SE,UP,BUD,DR,12_CAR,AC,
95215,BL 15,BL15,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95216,BL 32,BL32,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95217,BL 17,BL17,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95218,DBL 4,DBL4,2,SE,FAST,SE,UP,BUD,DR,12_CAR,AC,
95219,BL 19,BL19,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95220,BL 34,BL34,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95221,DBL 1,DBL1,2,SE,FAST,SE,DN,DR,BUD,12_CAR,AC,
95222,BL 36,BL36,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95223,BL 21,BL21,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95224,BL 38,BL38,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95225,DBL 3,DBL3,2,SE,FAST,SE,DN,DR,BUD,12_CAR,AC,
95226,BL 40,BL40,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95227,BL 23,BL23,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95228,BL 42,BL42,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
95229,BL 25,BL25,2,SE,FAST,SE,DN,CSMT,BUD,12_CAR,NON_AC,
95230,BL 44,BL44,2,SE,FAST,SE,UP,BUD,CSMT,15_CAR,NON_AC,
95231,BL 31,BL31,2,SE,FAST,SE,DN,CSMT,BUD,15_CAR,NON_AC,
95232,BL 46,BL46,2,SE,FAST,SE,UP,BUD,CSMT,12_CAR,NON_AC,
