train_no,train_name,direction,from_station,to_station,run_days,,,,
10103,Mandovi Express,DN,CSMT,RN,DAILY,,,,
10104,Mandovi Express,UP,RN,CSMT,DAILY,,,,
10105,DIVA-SAWANTWADI Passenger,DN,DIVA,ROHA,DAILY,,,,
10106,DIVA-SAWANTWADI EXP,UP,ROHA,DIVA,DAILY,,,,
10115,Bandra-Madgaon express,DN,BSR,RN,3,5,,,
10116,Bandra-Madgaon express,DN,BSR,RN,2,4,,,
11001,NANDIGRAM EXP,DN,CSMT,MMR,DAILY,,,,
11002,NANDIGRAM EXP,UP,MMR,CSMT,DAILY,,,,
11003,TUTARI EXP,DN,DR,RN,DAILY,,,,
11004,TUTARI EXP,UP,ROHA,DIVA,DAILY,,,,
11005,CHALUKYA EXP,DN,DR,PUNE,1,5,7,,
11006,CHALUKYA EXP,UP,PUNE,DR,2,4,5,,
11007,DECCAN EXP,DN,CSMT,PUNE,DAILY,,,,
11008,DECCAN EXP,UP,PUNE,CSMT,DAILY,,,,
11009,SINHAGAD EXP,DN,CSMT,PUNE,DAILY,,,,
11010,SINHAGAD EXP,UP,PUNE,CSMT,DAILY,,,,
11011,CSMT-DHI EXP,DN,CSMT,MMR,DAILY,,,,
11012,CSMT-DHI EXP,UP,MMR,CSMT,DAILY,,,,
11013,LTT-CBE Coimbatore express,DN,LTT,PUNE,DAILY,,,,
11014,LTT-CBE Coimbatore express,UP,PUNE,LTT,DAILY,,,,
11015,LTT-SHC AMRIT BHARAT,DN,LTT,IGP,5,,,,
11016,LTT-SHC AMRIT BHARAT,UP,IGP,LTT,1,,,,
11017,LTT-KIK EXP,DN,LTT,PUNE,6,,,,
11018,LTT-KIK EXP,UP,PUNE,LTT,2,,,,
11019,KONARK EXP,DN,CSMT,PUNE,DAILY,,,,
11020,KONARK EXP,UP,PUNE,CSMT,DAILY,,,,
11021,DR-TEN EXP,DN,DR,PUNE,2,3,6,,
11022,DR-TEN EXP,UP,PUNE,DR,3,6,7,,
11027,DR-STR-DR EXP,DN,DR,PUNE,1,5,7,,
11028,DR-STR-DR EXP,UP,PUNE,DR,2,3,7,,
11029,KOYNA EXP,DN,CSMT,PUNE,DAILY,,,,
11030,KOYNA EXP,UP,PUNE,CSMT,DAILY,,,,
11031,Alipurdaur AB express,DN,PNVL,IGP,1,,,,
11032,Alipurdaur AB express,UP,IGP,PNVL,SAT,,,,
11035,SHARAVATI EXP,DN,DR,PUNE,4,,,,
11036,SHARAVATI EXP,UP,PUNE,DR,1,,,,
11041,DR-SNSI EXP,DN,DR,PUNE,2,3,4,6,
11042,DR-SNSI EXP,UP,PUNE,DR,1,4,5,6,
11049,ADI-KOP-ADI EXP,UP,,,1,,,,
11050,ADI-KOP-ADI EXP,UP,PUNE,BSR,6,,,,
11055,LTT-GKP GODAN EXP,DN,LTT,IGP,1,3,5,7,
11056,LTT-GKP GODAN EXP,UP,IGP,LTT,1,3,4,6,
11057,CSMT-ASR EXP,DN,CSMT,IGP,DAILY,,,,
11058,CSMT-ASR EXP,UP,IGP,CSMT,DAILY,,,,
11059,LTT-CPR EXP,DN,LTT,IGP,2,4,6,,
11060,LTT-CPR EXP,UP,IGP,LTT,2,5,7,,
11061,LTT-JYG EXP,DN,LTT,IGP,DAILY,,,,
11062,LTT-JYG EXP,UP,IGP,LTT,DAILY,,,,
11071,LTT-BUI KAMAYANI EXP,DN,LTT,IGP,DAILY,,,,
11072,LTT-BUI KAMAYANI EXP,UP,IGP,LTT,DAILY,,,,
11079,LTT-GKP EXP,DN,LTT,IGP,4,,,,
11080,LTT-GKP EXP,UP,IGP,LTT,7,,,,
11081,LTT-GKP EXP,DN,LTT,IGP,3,,,,
11082,LTT-GKP EXP,UP,IGP,LTT,6,,,,
11087,VRL-PUNE-VRL EXP,UP,,,7,,,,
11088,VRL-PUNE-VRL EXP,UP,PUNE,BSR,4,,,,
11089,BGKT-PUNE-BGKT EXP,UP,,,3,,,,
11090,BGKT-PUNE-BGKT EXP,UP,PUNE,BSR,7,,,,
11091,BHUJ-PUNE-BHUJ EXP,UP,,,4,,,,
11092,BHUJ-PUNE-BHUJ EXP,UP,PUNE,BSR,1,,,,
11099,LTT-MAO EXP,DN,LTT,RN,2,5,6,7,
11100,LTT-MAO EXP,UP,RN,LTT,2,5,6,7,
11139,CSMT-HPT EXP,DN,CSMT,PUNE,DAILY,,,,
11140,CSMT-HPT EXP,UP,PUNE,CSMT,DAILY,,,,
11301,CSMT-SBC UDYAN EXPRESS,DN,CSMT,PUNE,DAILY,,,,
11302,CSMT-SBC UDYAN EXPRESS,UP,PUNE,CSMT,DAILY,,,,
12051,CSMT-MAO JANSHATBDI EXP,DN,CSMT,RN,DAILY,,,,
12052,CSMT-MAO JANSHATBDI EXP,UP,RN,CSMT,DAILY,,,,
12071,CSMT-HNL JANSHATBDTI EXP,DN,CSMT,MMR,DAILY,,,,
12072,CSMT-HNL JANSHATBDTI EXP,UP,MMR,CSMT,DAILY,,,,
12101,LTT-SHM GYANESHWARI EXP,DN,LTT,IGP,1,2,5,6,
12102,LTT-SHM GYANESHWARI EXP,UP,IGP,LTT,2,3,5,6,
12105,CSMT-G VIDARBHA EXPRESS,DN,CSMT,IGP,DAILY,,,,
12106,CSMT-G VIDARBHA EXPRESS,UP,IGP,CSMT,DAILY,,,,
12107,LTT-ST EXP,DN,LTT,IGP,1,3,6,,
12108,LTT-ST EXP,UP,IGP,LTT,1,3,5,,
12109,CSMT-MMR PANCHAVATI EXP,DN,CSMT,MMR,DAILY,,,,
12110,CSMT-MMR PANCHAVATI EXP,UP,MMR,CSMT,DAILY,,,,
12111,CSMT-AMI SF EXP,DN,CSMT,IGP,DAILY,,,,
12112,CSMT-AMI SF EXP,UP,IGP,CSMT,DAILY,,,,
12115,CSMT-SUR SIDDHESHWAR EXP,DN,CSMT,PUNE,DAILY,,,,
12116,CSMT-SUR SIDDHESHWAR EXP,UP,PUNE,CSMT,DAILY,,,,
12123,CSMT-PUNE DECCAN QUEEN,DN,CSMT,PUNE,DAILY,,,,
12124,CSMT-PUNE DECCAN QUEEN,UP,PUNE,CSMT,DAILY,,,,
12125,CSMT-PUNE PRAGATI EXP,DN,CSMT,PUNE,DAILY,,,,
12126,CSMT-PUNE PRAGATI EXP,UP,PUNE,CSMT,DAILY,,,,
12127,CSMT-PUNE INTERCITY EXP,DN,CSMT,PUNE,DAILY,,,,
12128,CSMT-PUNE INTERCITY EXP,UP,PUNE,CSMT,DAILY,,,,
12131,DR-SNSI EXP,DN,DR,IGP,1,3,6,,
12132,DR-SNSI EXP,UP,IGP,DR,1,3,5,,
12133,CSMT-MAJN EXP,DN,CSMT,RN,DAILY,,,,
12134,CSMT-MAJN EXP,UP,RN,CSMT,DAILY,,,,
12137,CSMT-FZR PUNJAB MAIL,DN,CSMT,IGP,DAILY,,,,
12138,CSMT-FZR PUNJAB MAIL,UP,IGP,CSMT,DAILY,,,,
12139,CSMT-NGP SEVAGRAM EXP,DN,CSMT,IGP,DAILY,,,,
12140,CSMT-NGP SEVAGRAM EXP,UP,IGP,CSMT,DAILY,,,,
12141,LTT-PPTA PATLIPUTRA EXP,DN,LTT,IGP,DAILY,,,,
12142,LTT-PPTA PATLIPUTRA EXP,DN,BSR,LTT,DAILY,,,,
12143,LTT-SLN EXP,DN,LTT,IGP,7,,,,
12144,LTT-SLN EXP,UP,IGP,LTT,3,,,,
12145,LTT-PURI EXP,DN,LTT,IGP,7,,,,
12146,LTT-PURI EXP,UP,IGP,LTT,4,,,,
12151,LTT-SHM SAMRASHTA EXP,DN,LTT,IGP,3,4,,,
12152,LTT-SHM SAMRASHTA EXP,UP,IGP,LTT,1,7,,,
12153,LTT-RKMP EXP,DN,LTT,IGP,4,,,,
12154,LTT-RKMP EXP,UP,IGP,LTT,6,,,,
12161,LTT-AGC LASHKAR EXP,DN,LTT,IGP,5,,,,
12162,LTT-AGC LASHKAR EXP,UP,IGP,LTT,7,,,,
12163,LTT-MAS EXP,DN,LTT,PUNE,DAILY,,,,
12164,LTT-MAS EXP,UP,PUNE,LTT,DAILY,,,,
12165,LTT-GKR EXP,DN,LTT,IGP,1,4,5,,
12166,LTT-GKR EXP,UP,IGP,LTT,3,6,7,,
12167,LTT-BNPRS EXP,DN,LTT,IGP,DAILY,,,,
12168,LTT-BNPRS EXP,UP,IGP,LTT,DAILY,,,,
12171,LTT-Haridwar Superfast express,DN,LTT,IGP,1,4,,,
12172,LTT-Haridwar Superfast express,UP,IGP,LTT,3,6,,,
12173,LTT-MBDP UDYOG NAGRI EXP,DN,LTT,IGP,2,7,,,
12174,LTT-MBDP UDYOG NAGRI EXP,UP,IGP,LTT,3,5,,,
12187,CSMT-JBP GARIB RATH,UP,IGP,CSMT,2,4,7,,
12188,CSMT-JBP GARIB RATH,DN,CSMT,IGP,2,4,7,,
12201,LTT-TVCN GARIB RATH,DN,LTT,RN,1,5,,,
12202,LTT-TVCN GARIB RATH,UP,RN,LTT,5,1,,,
12217,CDG-TVCN-CDG KERLA S KRANTI EXP,UP,RN,BSR,2.7,,,,
12218,CDG-TVCN-CDG KERLA S KRANTI EXP,DN,BSR,RN,4,6,,,
