signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
CSMT S-3,CSMT,CSMT,CSMT-KYN,DN LOC,DN,PF-3 DN LL,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,1,1,RI: L1=H-03;R1=S-45,Book shows one left and one right arm on top of vertical stem,,,,1
CSMT S-4,CSMT,CSMT,CSMT-KYN,DN LOC,DN,PF-4,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,2,1,RI: L1=L-001;L2=H-03;R1=S-45,Book shows two left and one right arm on top of vertical stem,,,,1
CSMT S-5,CSMT,CSMT,CSMT-KYN,DN LOC,DN,PF-5 DN TH,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,2,0,RI: L1=L-001;L2=H-03,Book shows two left arms on top of vertical stem,,,,1
CSMT S-6,CSMT,CSMT,CSMT-KYN,DN LOC,DN,PF-6,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,3,1,RI: L1=S-45;L2=L-001;L3=H-03;MAIN=Y=S-45,Book shows three left arms and main Y=S-45 (RHS) on vertical stem,,,,1
L-001,,,CSMT-KYN,DN LOC,DN,,358,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,ON OHE MAST,,,,,1
L-003,,,CSMT-KYN,DN LOC,DN,,380,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-005,,,CSMT-KYN,DN LOC,DN,MSD PF-3 STR,,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-007,,,CSMT-KYN,DN LOC,DN,,01/150 H,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-009,,,CSMT-KYN,DN LOC,DN,,1/156,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-011 REP,,,CSMT-KYN,DN LOC,DN,ON PF,,,,,Repeater,,Right,Left,,1,0,0,0,0,0,0,0,0,,,,,,1
L-011,,,CSMT-KYN,DN LOC,DN,,2/118,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-013,,,CSMT-KYN,DN LOC,DN,,2/142,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-015,,,CSMT-KYN,DN LOC,DN,,3/118,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
BY S-14,BY,Byculla,CSMT-KYN,DN LOC,DN,,3/144,,,,Semi-Automatic,,Left,Right,,0,0,1,0,1,0,0,0,0,,,,,,1
BY S-23,BY,Byculla,CSMT-KYN,DN LOC,DN,PF-1 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,DN TH K-009,Book shows flag marker referencing DN TH K-009,,,,1
BY S-29,BY,Byculla,CSMT-KYN,DN LOC,DN,,4/144,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-021,,,CSMT-KYN,DN LOC,DN,,4/162,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-023,,,CSMT-KYN,DN LOC,DN,,5/112,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-025,,,CSMT-KYN,DN LOC,DN,,5/126,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-027,,,CSMT-KYN,DN LOC,DN,,6/102A,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-029,,,CSMT-KYN,DN LOC,DN,,6/122,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
PR S-1,PR,Parel,CSMT-KYN,DN LOC,DN,,6/142,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
PR S-3,PR,Parel,CSMT-KYN,DN LOC,DN,,7/122,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,DIV NOT IN USE,,,,,1
PR S-19,PR,Parel,CSMT-KYN,DN LOC,DN,PF-1 STR,7/150,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
PR S-21,PR,Parel,CSMT-KYN,DN LOC,DN,PF-1A STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
DR S-4,DR,Dadar,CSMT-KYN,DN LOC,DN,,8/122,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DR S-6,DR,Dadar,CSMT-KYN,DN LOC,DN,PF-8 STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-031,,,CSMT-KYN,DN LOC,DN,,9/118,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-033,,,CSMT-KYN,DN LOC,DN,,9/140,,,,Automatic,,Right,,,1,0,0,0,1,0,0,0,0,,,,,,1
DR S-20,DR,Dadar,CSMT-KYN,DN LOC,DN,PF-1 STR,10/116,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
DR S-24,DR,Dadar,CSMT-KYN,DN LOC,DN,,10/136,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,DN TH K-017,Book shows flag marker referencing DN TH K-017,,,,1
