signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
KYN S-42,KYN,Kalyan,CLA-KYN,6TH,UP,KYN PF-7 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,1,1,RI: Y=S-21 ; UP TH S-19,Book shows route indicator Y=S-21 / UP TH S-19,,,,1
KYN S-41,KYN,Kalyan,CLA-KYN,6TH,UP,KYN PF-6 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,1,1,RI: 6TH LINE S-21 ; UP TH S-19,Book shows route indicator 6TH LINE S-21 / UP TH S-19,,,,1
KYN S-21,KYN,Kalyan,CLA-KYN,6TH,UP,,52/641,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,2,RI: UP TH (K 5102) ; UP LL (L 5014),Book shows route indicator UP TH (K 5102) / UP LL (L 5014),,,,1
ME 5104,,,CLA-KYN,6TH,UP,,51/613,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
ME 5004,,,CLA-KYN,6TH,UP,,50/617,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
ME 4908,,,CLA-KYN,6TH,UP,,49/635,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
ME 4812,,,CLA-KYN,6TH,UP,,48/627,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DI S-31,DI,Dombivali,CLA-KYN,6TH,UP,,47/631,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DI S-18,DI,Dombivali,CLA-KYN,6TH,UP,,46/647,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,TO BSR S-7,Book shows flag marker TO BSR S-7,,,,1
ME 4602,,,CLA-KYN,6TH,UP,,46/605,,,,Automatic,,Left,,,0,0,1,0,1,0,0,0,0,,,,,,1
DCC S-39,DCC,DCC,CLA-KYN,6TH,UP,,45/627,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,1,1,RI: DCC LOOP / DCC M/L ; Y=DW S-21,Book shows route indicator DCC LOOP / DCC M/L with Y=DW S-21,,,,1
DCC S-31,DCC,DCC,CLA-KYN,6TH,UP,,45/6A,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DCC S-16,DCC,DCC,CLA-KYN,6TH,UP,,44/21,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DCC S-22,DCC,DCC,CLA-KYN,6TH,UP,DCC LOOP STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
ME 4310,,,CLA-KYN,6TH,UP,,43/635,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DW S-68,DW,Diva,CLA-KYN,6TH,UP,,43/613,,,,Semi-Automatic,,Left,,,0,0,1,0,1,0,0,2,1,RI: PF-6 ; PF-8 ; Y=DW S-55,Book shows route indicator PF-6 / PF-8 with Y=DW S-55,,,,1
DW S-55,DW,Diva,CLA-KYN,6TH,UP,PF-5 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,UP LL S-45,Book shows flag marker referencing UP LL S-45,,,,1
