00.00 HRS POSITION OF MOTORMEN MUMBAI DIVISION ON :-10/01/2026 Prepared by Srcc (SUB) CSMT,,,,,
,PARTICULARS,LOBBY,,,TOTAL
,,CSMT,KYN,PNVL,
1,SANCTIONED STRENGTH (W.E.F. 04/09/2023) Ref. L.No.BB.Loco.202.Cadre Dated.04-09-2023.,555,370,151,1076
2,WORKING MOTORMAN ON DTL,396,307,113,816
3,VACANCIES,159,63,38,260
,4.1- LOCO POWER CONTROLLER MAIN LINE/SUB/DSL/ELE,4,,,4
,4.2- SPAD M.MAN WORKING AS JFO /JRCC./CMS/OFFICE/DETAIL MKR.,10,,,10
,4.3- SPAD CREW PSYCHO FAIL WORKING AS DETAIL MKR./JFO,,1,,1
,4.4- WORKING AT SR.DEE OFFICE/DY.CEE/OTHER OFFICE/SR.DOM OFFICE,,1,,1
,"4.5- WKG AT T-WAGON / UP YD KYN / CLA DSL/JR.CC CSMT(M/L),PNVL(M/L)/KCS",,,,0
,4.6- AT MTC CLA / DTC KYN/MTC KYN AS INSTRUCTOR,,,1,1
,4.7- MMC / UNDER LI-CO/ JR CC M/L,,,,0
,4.8- DETAIL COMMITTEE,,,,0
,4.9- M/MAN WKG AT VVH / KYN / LNL / PNVL (JR CC) SUB / GOODS SAFETY CASE,,2,2,4
,4.10- M/MAN UNDER SUPERNUMERARY POST / MEDICALLY D-CATEGORIZED STAFF,4,4,1,9
5,TOTAL (4.1 TO 4.10),18,8,4,30
6,LEAVE,21,13,7,41
7,LEARNING ROAD,6,16,,22
8,REF COURSE / SAFETY CAMP MTC,5,6,4,15
9,DSL/ELEC. LI PRE-PROMOTION TRG / MEMU TRG/SPL REF/ LDCE PRE-PROMOTION TRG,,,,0
10,INJURED ON DUTY ( IOD )/EXM,,,,0
11,SICK,3,4,2,9
12,ABSENT,,,,0
13,M/MAN WKG IN GHAT,5,2,1,8
14,SPL CL,1,,1,2
15,SPL DUTY / ARE / MUCK SPL WKG,,,,0
16,PME,,1,1,2
17,MOTORMAN WKG ONLINE AT OTHER DEPOT/MEMU KYN,,,,0
18,M/MAN ATTEND OFFICE / SCREENING / OTHER / AWARD ATND / INST./LI EXAM /LDC EXM,,1,,1
19,"I/C MTC , GHAT TRG",,,,0
20,DTC KYN-BSL ZRTI .,8,28,7,43
21,DAR-POLICE-PWI-RCT ENQ /ARE/ ENQ SR DEE OFFICE / LI EXAM/ INSTRUCTOR EXAM,,,,0
22,MOTORMAN AC-DC HANDLING (RETRO/SIEMENS/BOMBARDIER/MEDHA/AC LOCAL TRG-HANDLING,,,,0
23,M/MAN WKG IN DETAIL MAKER / MMC WITH NEW M.MAN/EXAM,,,,0
24,M/MAN UNDER SUSP,,1,,1
25,TOTAL (6 TO 24),49,72,23,144
26,TOTAL OFF DETAIL = ( 5 + 25 ),67,80,27,174
27,CSMT (177+02 MUCK+ 3 MEMU)+(203 HB )= 385 KYN(271 + 1 MUCK+12 MEMU)=284 (771) From 05-10-2024 + PNVL 101+4 MEMU +01=106PL FROM 13-01-24,385,285,108,778
28,TOTAL M/MAN ON DETAIL,229,227,86,542
29,TOTAL VACANT DETAIL,56,58,22,136
30,NET SUNDAY WORKING SPARE DETAIL ( NOT TO BE FILED ),,1,4,5
31,EXTRA GIVEN TO MOTORMAN BY Sr. CC OFFICE,42,55,15,112
32,VACANT DETAIL (AFTER EXTRA GIVEN DIL PREPARATION),14,2,3,19
33,OTHER MOVEMENTS :- (BLOCK SPL/E/RAKE/OMS SPL/LPC MOV/BTN/SPL WTG. Etc.) CSMT-KYN-PNVL,,,,0
34,VACANT DETAIL DUE TO NOT TURN UP (NTUP),,,,0
35,VACANT DETAIL DUE TO LAST MOMENT LEAVE (LML),2,3,1,6
36,VACANT DETAIL (DUE TO NOT WILLING),,,2,2
37,TOTAL NET VACANT DETAIL (AFTER DTL PREPARATION NET VAC+SPL+LML+NTUP+NTW),16,5,6,27
38,WTG M/MAN BOOKED BY JR. C.C. (Against VAC/LML/NTUP/NTW/T-OFF /SPLIT WKG./ER MOV.) KYN MM WKG DTL,18,,5,23
39,EXTRA GIVEN WHEN STAFF NOT AVAILABLE,,,1,1
