signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
KYN S-35,KYN,Kalyan,CSMT-KYN,UP LOC,UP,PF-1 MID STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
KYN S-14,KYN,Kalyan,CSMT-KYN,UP LOC,UP,PF-1 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,3,RI: LL S-20 ; TH S-8 ; 6TH S-21,Book shows three-route indicator (LL S-20 / TH S-8 / 6TH S-21),,,,1
KYN S-16,KYN,Kalyan,CSMT-KYN,UP LOC,UP,PF-1A STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,3,RI: LL S-20 ; TH S-8 ; 6TH S-21,Book shows three-route indicator (LL S-20 / TH S-8 / 6TH S-21),,,,1
KYN S-36,KYN,Kalyan,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
KYN S-37,KYN,Kalyan,CSMT-KYN,UP LOC,UP,PF-3 STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
KYN S-17,KYN,Kalyan,CSMT-KYN,UP LOC,UP,,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,2,RI: TH S-8 ; 6TH S-21,Book shows two-route indicator (TH S-8 / 6TH S-21),,,,1
KYN S-20,KYN,Kalyan,CSMT-KYN,UP LOC,UP,,52/211,,,,Semi-Automatic,,Extreme Right,Right,,0,1,0,0,0,0,0,0,0,,,,,,1
KYN S-7,KYN,Kalyan,CSMT-KYN,UP LOC,UP,,52/223,,,,Semi-Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-5014,,,CSMT-KYN,UP LOC,UP,,51/201,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
TCY S-21,TCY,Thakurli,CSMT-KYN,UP LOC,UP,,50/228,,,,Semi-Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,CHOLA SDG,Book shows flag marker CHOLA SDG,,,,1
L-4912,,,CSMT-KYN,UP LOC,UP,,49/245,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-4906,,,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Automatic,,Right,Left,,1,0,0,0,0,0,0,0,0,,,,,,1
