signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
KYN S-47,KYN,Kalyan,CSMT-KYN,UP TH,UP,MID PF-4,52/447,53.225,19.23445,73.1286,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
KYN S-38,KYN,Kalyan,CSMT-KYN,UP TH,UP,PF-4 STR,52/439,52.744,19.23394,73.12712,Semi-Automatic,,Left,,,0,0,1,0,0,1,1,2,0,RI: L1= S-8; L2= S-21,Book shows two left arms on top of vertical stem,,200,,1
KYN S-48,KYN,Kalyan,CSMT-KYN,UP TH,UP,MID PF-5,52/445,53.239,19.23436,73.12843,Semi-Automatic,,Right,,,0,0,1,0,0,0,0,0,0,,,,200,,1
KYN S-39,KYN,Kalyan,CSMT-KYN,UP TH,UP,PF-5 STR,52/437,52.744,19.23377,73.12676,Semi-Automatic,,Left,,,0,0,1,0,0,0,1,0,0,,,,200,,1
KYN S-41,KYN,Kalyan,CSMT-KYN,UP TH,UP,PF-6 STR,52/441,52.744,19.23397,73.12755,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,1,1,RI: L1= S-21; R1= S-19,Book shows one left and one right arms on top of vertical stem,,200,,1
KYN S-42,KYN,Kalyan,CSMT-KYN,UP TH,UP,PF-7 STR,52/441,52.744,19.2339,73.12755,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,1,RI:R1= S-19,Book shows one right arm on top of vertical stem,,200,,1
KYN S-19,KYN,Kalyan,CSMT-KYN,UP TH,UP,52/13,52/13,52.374,19.23304,73.12459,Semi-Automatic,,Left,,,0,0,1,0,0,1,1,1,0,RI:L1= S-21,Book shows one left arm on top of vertical stem,,200,,1
KYN S-8,KYN,Kalyan,CSMT-KYN,UP TH,UP,51/431,51/431,52.039,19.2321,73.11799,Semi-Automatic,,Left,,,0,0,1,0,0,1,0,0,1,RI:R1= UP/LL,Book shows one right arm on top of vertical stem,,600,,1
K-5102,,,CSMT-KYN,UP TH,UP,51/403,51/403,51.681,19.23057,73.11178,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,300,,1
K-5008,,,CSMT-KYN,UP TH,UP,50/421,50/421,51.141,19.22916,73.10745,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,300,,1
